id,name,cost,price
0,Brinquedo_1,4788.90,34792.77
1,Brinquedo_2,7535.39,64335.88
2,Brinquedo_3,8520.04,91590.71
3,Brinquedo_4,8537.86,53442.86
4,Brinquedo_5,3464.05,14130.58
5,Brinquedo_6,5255.34,50359.54
6,Brinquedo_7,6456.52,48368.69
7,Brinquedo_8,3874.07,33253.43
8,Brinquedo_9,2559.66,10847.00
9,Brinquedo_10,2076.51,13666.80
10,Brinquedo_11,2264.96,3093.43
11,Brinquedo_12,7611.73,49930.91
12,Brinquedo_13,6238.07,34030.10
13,Brinquedo_14,4278.38,15628.91
14,Brinquedo_15,705.22,3458.03
15,Brinquedo_16,785.54,6082.50
16,Brinquedo_17,9431.95,30633.91
17,Brinquedo_18,5031.47,28320.65
18,Brinquedo_19,4241.54,9936.68
19,Brinquedo_20,654.06,1704.34
20,Brinquedo_21,9681.64,19532.80
21,Brinquedo_22,7023.58,54687.72
22,Brinquedo_23,531.45,2739.30
23,Brinquedo_24,7495.42,35064.79
24,Brinquedo_25,7469.00,69938.56
25,Brinquedo_26,6623.11,44145.47
26,Brinquedo_27,1239.23,3032.03
27,Brinquedo_28,5105.59,18571.72
28,Brinquedo_29,55.32,329.99
29,Brinquedo_30,5300.12,49235.62
